标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·航华二村信利苑 1室1厅 南,4500,61.34㎡,闵行-航华-航华二村信利苑,121.348978,31.170983,10号线,0.8649
整租·爱博六村 1室1厅 南,4500,60.00㎡,闵行-华漕-爱博六村,121.308952,31.221139,13号线,2.4114
整租·绿地峰尚汇 2室1厅 南,3800,59.95㎡,闵行-浦江-绿地峰尚汇,121.511716,31.080359,8号线,0.524
整租·虹梅新苑北区 2室2厅 南,5500,98.00㎡,闵行-吴泾-虹梅新苑北区,121.45648,31.043252,15号线,1.3465
整租·九星苑 2室1厅 南,6200,74.23㎡,闵行-古美-九星苑,121.400437,31.156156,12号线,0.5554
整租·建发璟院北苑 3室2厅 南,15000,107.00㎡,闵行-古美-建发璟院北苑,121.400437,31.156156,12号线,0.5554
整租·水清一村 2室1厅 南,5000,59.19㎡,闵行-莘庄北广场-水清一村,121.436307,31.188334,1号线,0.6212
整租·水清三村 1室1厅 东南,4500,55.49㎡,闵行-莘庄北广场-水清三村,121.436307,31.188334,1号线,0.6212
整租·骏苑(三期) 1室1厅 南,3360,62.00㎡,闵行-颛桥-骏苑(三期),121.436307,31.188334,1号线,0.6212
整租·好世凤凰城 3室2厅 南/北,8600,134.63㎡,闵行-莘庄南广场-好世凤凰城,121.391506,31.093366,5号线,0.4612
整租·上海康城 3室2厅 南,6000,163.53㎡,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212
整租·上中西路767弄 1室1厅 南,5000,48.75㎡,闵行-梅陇-上中西路767弄,121.412822,31.14129,1号线,0.1599
整租·丽都城假日景苑 3室1厅 南,5000,92.02㎡,闵行-老闵行-丽都城假日景苑,121.406407,31.014407,5号线,0.5002
整租·瑞和新苑浦涛路400弄 3室2厅 南/北,4500,93.00㎡,闵行-闵浦-瑞和新苑浦涛路400弄,121.53785,31.049779,浦江线,0.7463
整租·静安新城五区 1室1厅 南,5300,53.00㎡,闵行-静安新城-静安新城五区,121.383236,31.163899,9号线,0.3276
整租·好第坊(东川路865弄) 2室2厅 南/北,4500,90.49㎡,闵行-老闵行-好第坊(东川路865弄),121.436307,31.188334,1号线,0.6212
